駅ID_1,駅名_1,路線_1,駅ID_2,駅名_2,路線_2,根拠
3,上野,銀座線,51,上野,日比谷線,同名駅
4,上野広小路,銀座線,52,仲御徒町,日比谷線,PDF斜線(異名)
7,三越前,銀座線,144,三越前,半蔵門線,同名駅
8,日本橋,銀座線,78,日本橋,東西線,同名駅
10,銀座,銀座線,28,銀座,丸ノ内線,同名駅
10,銀座,銀座線,60,銀座,日比谷線,同名駅
10,銀座,銀座線,130,銀座一丁目,有楽町線,PDF斜線(異名)
12,虎ノ門,銀座線,63,虎ノ門ヒルズ,日比谷線,PDF斜線(異名)
13,溜池山王,銀座線,30,国会議事堂前,丸ノ内線,PDF斜線(異名)
13,溜池山王,銀座線,105,国会議事堂前,千代田線,PDF斜線(異名)
13,溜池山王,銀座線,155,溜池山王,南北線,同名駅
14,赤坂見附,銀座線,31,赤坂見附,丸ノ内線,同名駅
14,赤坂見附,銀座線,127,永田町,有楽町線,PDF斜線(異名)
14,赤坂見附,銀座線,139,永田町,半蔵門線,PDF斜線(異名)
14,赤坂見附,銀座線,156,永田町,南北線,PDF斜線(異名)
15,青山一丁目,銀座線,138,青山一丁目,半蔵門線,同名駅
17,表参道,銀座線,108,表参道,千代田線,同名駅
17,表参道,銀座線,137,表参道,半蔵門線,同名駅
18,渋谷,銀座線,136,渋谷,半蔵門線,同名駅
18,渋谷,銀座線,179,渋谷,副都心線,同名駅
19,池袋,丸ノ内線,120,池袋,有楽町線,同名駅
19,池袋,丸ノ内線,172,池袋,副都心線,同名駅
22,後楽園,丸ノ内線,160,後楽園,南北線,同名駅
25,淡路町,丸ノ内線,100,新御茶ノ水,千代田線,PDF斜線(異名)
26,大手町,丸ノ内線,77,大手町,東西線,同名駅
26,大手町,丸ノ内線,101,大手町,千代田線,同名駅
26,大手町,丸ノ内線,143,大手町,半蔵門線,同名駅
28,銀座,丸ノ内線,60,銀座,日比谷線,同名駅
28,銀座,丸ノ内線,130,銀座一丁目,有楽町線,PDF斜線(異名)
29,霞ケ関,丸ノ内線,62,霞ケ関,日比谷線,同名駅
29,霞ケ関,丸ノ内線,104,霞ケ関,千代田線,同名駅
30,国会議事堂前,丸ノ内線,105,国会議事堂前,千代田線,同名駅
30,国会議事堂前,丸ノ内線,155,溜池山王,南北線,PDF斜線(異名)
31,赤坂見附,丸ノ内線,127,永田町,有楽町線,PDF斜線(異名)
31,赤坂見附,丸ノ内線,139,永田町,半蔵門線,PDF斜線(異名)
31,赤坂見附,丸ノ内線,156,永田町,南北線,PDF斜線(異名)
32,四ツ谷,丸ノ内線,157,四ツ谷,南北線,同名駅
35,新宿三丁目,丸ノ内線,176,新宿三丁目,副都心線,同名駅
47,北千住,日比谷線,94,北千住,千代田線,同名駅
55,人形町,日比谷線,145,水天宮前,半蔵門線,PDF斜線(異名)
56,茅場町,日比谷線,79,茅場町,東西線,同名駅
58,築地,日比谷線,131,新富町,有楽町線,PDF斜線(異名)
60,銀座,日比谷線,130,銀座一丁目,有楽町線,PDF斜線(異名)
61,日比谷,日比谷線,103,日比谷,千代田線,同名駅
61,日比谷,日比谷線,129,有楽町,有楽町線,PDF斜線(異名)
62,霞ケ関,日比谷線,104,霞ケ関,千代田線,同名駅
74,飯田橋,東西線,124,飯田橋,有楽町線,同名駅
74,飯田橋,東西線,159,飯田橋,南北線,同名駅
75,九段下,東西線,141,九段下,半蔵門線,同名駅
77,大手町,東西線,101,大手町,千代田線,同名駅
77,大手町,東西線,143,大手町,半蔵門線,同名駅
101,大手町,千代田線,143,大手町,半蔵門線,同名駅
103,日比谷,千代田線,129,有楽町,有楽町線,PDF斜線(異名)
105,国会議事堂前,千代田線,155,溜池山王,南北線,PDF斜線(異名)
108,表参道,千代田線,137,表参道,半蔵門線,同名駅
109,明治神宮前,千代田線,178,明治神宮前,副都心線,同名駅
117,小竹向原,有楽町線,169,小竹向原,副都心線,同名駅
118,千川,有楽町線,170,千川,副都心線,同名駅
119,要町,有楽町線,171,要町,副都心線,同名駅
120,池袋,有楽町線,172,池袋,副都心線,同名駅
124,飯田橋,有楽町線,159,飯田橋,南北線,同名駅
125,市ケ谷,有楽町線,158,市ケ谷,南北線,同名駅
127,永田町,有楽町線,139,永田町,半蔵門線,同名駅
127,永田町,有楽町線,156,永田町,南北線,同名駅
136,渋谷,半蔵門線,179,渋谷,副都心線,同名駅
139,永田町,半蔵門線,156,永田町,南北線,同名駅
